Titel,Brand,Kategorie,SKU,Barcode (EAN/GTIN),Highlights,Description,Attributes,Price,BIN,Quantity
ZF Automatikgetriebeöl Lifeguard Fluid 8 1L TE-ML 11 für Pkw MPN 600083246 NEU,ZF,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl",SKU-2191775022,4053202268477,"Optimale Schmierung und maximaler Verschleißschutz für Ihr Getriebe | Exklusiv für ZF Automatikgetriebe entwickelt, für perfekte Kompatibilität | Garantiert reibungslose und präzise Schaltvorgänge unter allen Bedingungen | Erfüllt höchste Standards: ZF TE-ML 11 Spezifikation für Premium-Qualität | Hergestellt in Deutschland für höchste Zuverlässigkeit und Langlebigkeit","ZF Lifeguard Fluid 8 Automatikgetriebeöl, speziell für Pkw Automatikgetriebe entwickelt. Garantiert optimale Schmierung und reibungslose Schaltvorgänge. Erfüllt die ZF TE-ML 11 Spezifikation und wird in Deutschland hergestellt. 1 Liter Flasche.","{""Anwendungsbereich"":""Pkw Automatikgetriebe"",""Füllmenge"":""1 Liter"",""Gebindeart"":""Flasche"",""Herstellerfreigabe"":""ZF000020"",""Herstellernummer"":""600083246"",""Herstellungsland"":""Deutschland"",""Marke"":""ZF"",""Modell"":""Lifeguard Fluid 8"",""Produktart"":""Automatikgetriebeöl"",""Spezifikation"":""TE-ML 11"",""weight"":1,""Zustand"":""Neu""}",19.99 EUR,XGA0106C,7
Würth Klingenschaber – Effiziente Rückstandsentfernung auf glatten Flächen,Würth,Heimwerker > Werkzeuge > Handwerkzeuge,SKU-0534200636,4053479285122,"Mühelose Entfernung von Farbe, Aufklebern und hartnäckigen Kleberesten. | Ergonomischer 2K-Griff für sicheren und rutschfesten Halt bei jeder Anwendung. | Robuster Edelstahl-Klingenhalter garantiert hohe Stabilität und außergewöhnliche Langlebigkeit. | Integrierter Klingenschutz bietet maximale Sicherheit bei Lagerung und Transport. | Vielseitig einsetzbar für diverse Reinigungs- und präzise Vorbereitungsarbeiten. | Schneller Klingenwechsel für unterbrechungsfreies und effizientes Arbeiten.","Der Würth 2K-Klingenschaber entfernt mühelos hartnäckige Rückstände wie Farbe, Aufkleber und Klebereste von glatten Oberflächen. Seine robuste Konstruktion mit einem langlebigen Edelstahl-Klingenhalter gewährleistet präzises und effizientes Arbeiten für eine optimale Oberflächenvorbereitung.Der ergonomische 2K-Kunststoffgriff sorgt für einen sicheren und rutschfesten Halt, selbst bei längeren Einsätzen. Gefertigt aus hochwertigem Edelstahl und 2K-Kunststoff, garantiert dieses Werkzeug außergewöhnliche Stabilität und eine lange Lebensdauer.Dieses umfassende Set beinhaltet den hochwertigen Klingenschaber und sechs passende Ersatzklingen für den sofortigen Gebrauch. Ein integrierter, abnehmbarer Klingenschutz bietet maximale Sicherheit bei der Aufbewahrung und schützt die Klingen vor Beschädigung.","{""Anwendungsbereich"":""Entfernen von Aufklebern, Farbe, Kleberesten"",""Anzahl Klingen gesamt"":""7 (1 im Schaber, 6 Ersatzklingen)"",""Besonderheiten"":""Ergonomischer Griff, Rutschfest, Klingenschutz"",""Farbe"":""Schwarz, Rot"",""GPSR Manufacturer name"":""Würth"",""Herstellernummer"":""0714663351"",""Kategorie"":""Heimwerker > Werkzeuge > Handwerkzeuge"",""Lieferumfang"":""1 Klingenschaber, 6 Ersatzklingen"",""Marke"":""Würth"",""Material Griff"":""2K-Kunststoff"",""Material Klingenhalter"":""Edelstahl"",""Produktart"":""Klingenschaber"",""Zustand"":""Neu""}",11.5 EUR,,0
Heidelberger BETTWAREN Bettdecke Grönland: Luxuriös warm & klimaregulierend,Heidelberger BETTWAREN,Möbel & Wohnen > Kindermöbel & Wohnen > Bettwaren & -wäsche > Bettdecken,SKU-4885995332,4063217299953,"Extra hoher Wärmegrad für kuschelige Winternächte | Optimale Schlafklima-Regulierung durch atmungsaktive Materialien | Hautfreundlicher Bezug aus reiner Baumwolle für höchsten Komfort | Nachhaltige Füllung aus 100% recycelter Polyester-Hohlfaser | Geprüfte Qualität sichert Langlebigkeit und Formstabilität | Angenehm leicht und voluminös für schwerelosen Schlafkomfort | Pflegeleicht, maschinenwaschbar und trocknergeeignet für einfache Hygiene","Erleben Sie mit der Heidelberger BETTWAREN Winterdecke Grönland unvergleichlichen Schlafkomfort und wohlige Wärme, selbst in den kältesten Winternächten. Diese exklusive Bettdecke schafft eine besonders kuschelige und warme Schlafumgebung, die gleichzeitig ein optimal reguliertes Schlafklima für erholsame Nächte bietet.Der hochwertige Bezug aus 100% reiner Baumwolle garantiert eine natürliche, hautsympathische Haptik und hervorragende Atmungsaktivität. Im Inneren überzeugt eine innovative Füllung aus 100% recycelter Polyester-Hohlfaser, welche exzellente Isolationseigenschaften mit geringem Gewicht vereint und für einen extra hohen Wärmegrad sorgt.Sie erhalten eine hochwertige Decke in der Komfortgröße 135 x 200 cm, gefertigt unter strengen Qualitätsstandards für langanhaltende Freude. Die Heidelberger Winterdecke ist äußerst pflegeleicht, behält ihre Bauschkraft und Formstabilität auch nach häufigem Waschen bei und ist zudem trocknergeeignet für unkomplizierte Hygiene.","{""Atmungsaktiv"":""Ja"",""Breite"":""135 cm"",""Farbe"":""Weiß"",""Feuchtigkeitsregulierend"":""Ja"",""Füllgewicht"":""1600 g"",""Füllmaterial"":""100% recycelte Polyester-Hohlfaser"",""GPSR Manufacturer name"":""Heidelberger BETTWAREN"",""Herstellernummer"":""805067"",""Jahreszeit"":""Winter"",""Kategorie"":""Möbel & Wohnen > Kindermöbel & Wohnen > Bettwaren & -wäsche > Bettdecken"",""Klimaregulierend"":""Ja"",""Länge"":""200 cm"",""Marke"":""Heidelberger BETTWAREN"",""Material Bezug"":""100% Baumwolle"",""Modell"":""Grönland"",""Nachhaltigkeit"":""Recycelte Füllung"",""Produktart"":""Bettdecke"",""Trocknergeeignet"":""Ja"",""Wärmeklasse"":""Extra Warm"",""Waschbar"":""Ja"",""Zimmer"":""Schlafzimmer"",""Zustand"":""Neu""}",64.95 EUR,XGA0204A,1
HUGO BOSS Zestart Herren Sweatjacke Beige Gr. 4XL Langarm Reißverschluss,HUGO BOSS,Herrenbekleidung > Sweatshirts & Hoodies,SKU-4973901806,4063541990120,"Hochwertige HUGO BOSS Sweatjacke, exzellent verarbeitet. | Durchgehender Reißverschluss für flexible Anpassung. | Ideal für Freizeit und täglichen Gebrauch. | Weiches Material für hohen Tragekomfort. | Einfarbiges beiges Design mit Stehkragen. | Dezentes HUGO BOSS Logo auf der Brust. | Pflegeleicht und formstabil.","Hochwertige HUGO BOSS Zestart Herren Sweatjacke in Beige, Größe 4XL. Mit durchgehendem Reißverschluss und Stehkragen bietet sie bequemen Tragekomfort für Freizeit und Alltag.","{""Anlass"":""Freizeit"",""Ärmellänge"":""Langarm"",""Farbe"":""Beige"",""Größe"":""4XL"",""Jahreszeit"":""Ganzjährig"",""Kragenform"":""Stehkragen"",""Marke"":""HUGO BOSS"",""Modell"":""Zestart"",""Muster"":""Einfarbig"",""Produktart"":""Sweatjacke"",""Verschlussart"":""Reißverschluss"",""weight"":1,""Zielgruppe"":""Herren"",""Zustand"":""Neu""}",104.96 EUR,XSGA0103A,1
BOSS Herren T-Shirt 3er Pack Classic Crew Neck Regular Fit Bio-Baumwolle Gr. M,BOSS,,SKU-1747542074,4063544208888,"Praktischer 3er-Pack für vielseitige Kombinationsmöglichkeiten im Alltag. | Gefertigt aus 100% reiner Bio-Baumwolle für höchsten Tragekomfort. | Klassischer Rundhalsausschnitt und bequeme Regular Fit Passform. | Atmungsaktives Material, ideal für Freizeit und täglichen Gebrauch. | Strapazierfähig und pflegeleicht für langanhaltende Qualität und Formbeständigkeit. | Zeitloses Basic-Design, perfekt integrierbar in jede Herrengarderobe.",,"{""Anlass"":""Freizeit"",""Ärmellänge"":""Kurzarm"",""Ausschnitt"":""Rundhals"",""Eigenschaften"":""Atmungsaktiv"",""Farbe"":""Mehrfarbig (Schwarz, Blau, Dunkelblau)"",""Gewebeart"":""Jersey"",""Größe"":""M"",""Handgemacht"":""Nein"",""Hersteller"":""HUGO BOSS AG"",""Herstellungsland"":""Sri Lanka"",""Marke"":""BOSS"",""Material"":""100% Bio-Baumwolle"",""Modell"":""Classic Crew Neck"",""Muster"":""Unifarben"",""Packungsgröße"":""3er-Pack"",""Passform"":""Regular Fit"",""Personalisieren"":""Nein"",""Pflegehinweis"":""Maschinenwäsche"",""Produktart"":""T-Shirt"",""Saison"":""Alle Jahreszeiten"",""Stil"":""Basic"",""Thema"":""Klassisch"",""Verschluss"":""Ohne Verschluss"",""Vintage"":""Nein"",""weight"":1,""Zielgruppe"":""Herren"",""Zustand"":""Gebraucht""}",44.95 EUR,XGA0105B,1
Lawrence Grey Home Satin Bettwäsche-Set für luxuriösen Schlafkomfort,Lawrence Grey Home,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche",SKU-8382768165,4069092282370,"Genießen Sie luxuriösen Schlafkomfort dank hochwertigem Baumwoll-Satin. | Einfaches und schnelles Beziehen durch praktischen Qualitäts-Reißverschluss. | Erleben Sie ein hautfreundliches, atmungsaktives Schlafklima aus reiner Baumwolle. | Schaffen Sie ein stilvolles Ambiente mit elegantem Satin-Glanz und Streifen-Design. | Profitieren Sie von garantierter Hygiene durch unkomplizierte 60°C Maschinenwäsche. | Langanhaltende Weichheit und Formstabilität dank mercerisierter, gekämmter Baumwolle.","Verwandeln Sie Ihr Schlafzimmer in eine luxuriöse Wohlfühloase mit dem Lawrence Grey Home Satin Bettwäsche-Set aus 100% mercerisierter Baumwolle. Es bietet Ihnen jede Nacht erholsamen Schlaf und ein unvergleichlich angenehmes Hautgefühl für höchste Ansprüche.Das exquisite Set gewährleistet ein optimales, atmungsaktives und hautfreundliches Schlafklima dank seiner hochwertigen Verarbeitung. Der edle Satin-Glanz und das moderne Streifen-Design in Orange und Creme verleihen Ihrem Schlafbereich ein stilvolles und zeitloses Ambiente.Der Lieferumfang beinhaltet einen Bettbezug (135x200 cm) und einen Kissenbezug, beide mit Qualitäts-Reißverschluss für einfaches Beziehen. Für langanhaltende Hygiene und Farbbeständigkeit ist die Bettwäsche bei 60 Grad maschinenwaschbar und behält dabei ihre Weichheit und Form.","{""Artikelnummer (SKU)"":""4100006236"",""Besonderheiten"":""Mit Reißverschluss"",""Farbe"":""Orange/Creme gestreift"",""GPSR Manufacturer name"":""Lawrence Grey Home"",""Größe"":""135 x 200 cm"",""Herstellernummer"":""40225462-004"",""Kategorie"":""Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche"",""Marke"":""Lawrence Grey Home"",""Material"":""100% Baumwolle"",""Muster"":""Gestreift"",""Pflegehinweise"":""Maschinenwäsche 60°C"",""Produktart"":""Bettwäsche-Set"",""Qualität"":""Mercerisiert, gekämmt"",""Saison"":""A/S 9999"",""Stil"":""Modern"",""Stoffart"":""Satin"",""Verschlussart"":""Reißverschluss"",""Zimmer"":""Schlafzimmer"",""Zustand"":""Neu""}",38.87 EUR,XGA0201C,1
"GARDENA Akku- & Ladegerät-Set 18V 2.5 Ah Starter-Kit PBA 18V/45 Neu, OVP besch.",GARDENA,,SKU-1803692252,4078500055604,"Umfassendes Starter-Kit für GARDENA 18V Akku-System. | Inklusive 2.5 Ah Akku (PBA 18V/45) und Ladegerät (AL 1810 CV). | Teil der POWER FOR ALL ALLIANCE für breite Kompatibilität. | Schnellladefunktion: 80% in 120 Minuten, 100% in 154 Minuten. | Zuverlässige und flexible Energieversorgung für alle Gartenarbeiten. | Ideal für den sofortigen Start mit kabellosen Gartengeräten.","Das GARDENA 18V Starter-Kit mit 2.5 Ah Akku und Ladegerät versorgt alle POWER FOR ALL ALLIANCE Gartengeräte zuverlässig. Neuware, OVP beschädigt.","{""Akku-Kapazität"":""2.5 Ah"",""Herstellernummer"":""14910"",""Kompatibilität"":""POWER FOR ALL ALLIANCE 18V"",""Ladegerät enthalten"":""Ja"",""Ladezeit (100%)"":""154 Minuten"",""Ladezeit (80%)"":""120 Minuten"",""Modell Akku"":""PBA 18V/45"",""Modell Ladegerät"":""AL 1810 CV"",""Produktart"":""Akku- & Ladegerät-Set"",""Spannung"":""18V"",""weight"":1,""Zustand"":""Neu, Verpackung beschädigt""}",44.21 EUR,XGA0105B,1
"HELLA Anlasser 8EA 011 612-801 1.2 kW 12V Silber, Schwarz Metall",HELLA,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Anlasser,SKU-1353005263,4092285629928,"Original HELLA Qualität für höchste Zuverlässigkeit. | Kraftvoller 1.2 kW Anlasser garantiert schnellen Motorstart bei 12V. | Pfandfreies Neuteil; keine Altteilrückgabe erforderlich. | Präzise Passform ermöglicht einfache, schnelle Montage. | Gefertigt aus robusten Metallkomponenten für außergewöhnliche Langlebigkeit. | Wartungsfreies Bauteil für dauerhaften Einsatz und kompromisslose Leistung.","Der HELLA Anlasser 8EA 011 612-801 garantiert einen jederzeit zuverlässigen Motorstart für Ihr Fahrzeug. Dieses Premium-Ersatzteil liefert 1.2kW Leistung bei 12V und sichert eine einwandfreie Funktion unter allen Betriebsbedingungen.Gefertigt unter strengsten Qualitätskontrollen, besteht dieser Anlasser aus hochwertigen, langlebigen Komponenten. Seine robuste Konstruktion gewährleistet eine präzise Passform und optimale Leistung für eine lange Lebensdauer.Im Lieferumfang ist der Anlasser selbst enthalten, bereit für eine unkomplizierte Installation gemäß Herstellervorgaben. Vertrauen Sie auf die Expertise von HELLA; unser Kundenservice steht Ihnen bei Fragen zur Kompatibilität gerne zur Verfügung.","{""EAN"":""4092285629928"",""Farbe"":""Silber, Schwarz"",""GPSR Manufacturer name"":""HELLA"",""Herstellernummer"":""8EA 011 612-801"",""Kategorie"":""Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Anlasser"",""Leistung"":""1.2 kW"",""Marke"":""HELLA"",""Material"":""Metall"",""Produktart"":""Anlasser"",""Spannung"":""12 V"",""weight"":1,""Zustand"":""Neu""}",130 EUR,XGA0106C,1
LIQUI MOLY Motoröl 3740 NEU TOP TEC 4300 5W-30 1L MPN ACEA C2/C3 API Benzin,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",SKU-0694979094,4100420037405,"Speziell für Benzin- und Dieselfahrzeuge entwickelt. | Optimale Schmierung und zuverlässiger Verschleißschutz. | Erfüllt strenge ACEA C2/C3 und API SP Spezifikationen. | Offizielle Freigaben von Peugeot Citroen, MB und Renault. | Fördert Motorsauberkeit und verhindert Ablagerungen effektiv. | Reduziert Kraftstoffverbrauch und verlängert Motorlebensdauer. | Hochwertige ""Made in Germany"" Qualität für maximale Leistung.","LIQUI MOLY TOP TEC 4300 5W-30 ist ein modernes Leichtlaufmotoröl für Benzin- und Dieselfahrzeuge. Es bietet optimale Schmierung, zuverlässigen Verschleißschutz und erfüllt die Spezifikationen ACEA C2/C3 sowie API SP. Dieses hochwertige Öl fördert die Motorsauberkeit, reduziert den Kraftstoffverbrauch und verlängert die Motorlebensdauer.","{""Gebindeart"":""Flasche"",""Herstellernummer (MPN)"":""3740"",""Herstellungsland"":""Deutschland"",""Inhalt"":""1 Liter"",""Produktart"":""Motoröl"",""Spezifikationen"":""ACEA C2/C3, API SP"",""Viskosität"":""5W-30"",""weight"":1,""Zustand"":""NEU""}",16.38 EUR,XGA0106C,1
"LIQUI MOLY Motoröl TOP TEC 4300 5W-30 5L für Benzin Diesel Motoren, MPN 3741 NEU",LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",SKU-7902875633,4100420037412,Modernes Leichtlaufmotoröl für Benzin- und Dieselfahrzeuge | Erfüllt höchste Spezifikationen wie ACEA C2/C3 und API SP | Bietet hervorragenden Verschleißschutz und Motorsauberkeit | Fördert Kraftstoffersparnis und reduziert Öl- und Kraftstoffverbrauch | Verhindert effektiv Ablagerungen und Schlammbildung im Motor | Sorgt für ausgezeichnete Alterungsbeständigkeit und Filmstabilität | Entwickelt und hergestellt in Deutschland für höchste Qualität,"Das LIQUI MOLY TOP TEC 4300 5W-30 ist ein HC-Synthese Motoröl für Benzin- und Dieselmotoren. Es bietet optimalen Verschleißschutz, Motorsauberkeit und reduziert Kraftstoffverbrauch sowie Emissionen, mit Freigaben für PSA, Mercedes-Benz und Renault.","{""EAN"":""4100420037412"",""Einsatzbereich"":""Benzin- und Dieselmotoren"",""Gebindegröße"":""5 Liter"",""Herstellernummer"":""3741"",""Herstellungsland"":""Deutschland"",""Inhalt"":""5 Liter"",""Kraftstoffart"":""Benzin, Diesel"",""Marke"":""LIQUI MOLY"",""Öl-Typ"":""HC-Synthese"",""Produktart"":""Motoröl"",""Spezifikationen"":""ACEA C2/C3, API SP"",""Viskosität"":""5W-30"",""Viskositätsklasse"":""5W-30"",""weight"":1,""Zustand"":""Neu""}",65.08 EUR,XGA0106D,1
LIQUI MOLY Motoröl 20647 5W-30 Longlife III 5 Liter,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",SKU-4309949637,4100420206474,Synthesetechnologie-Basis für hochmodernes Leichtlaufmotoröl. | Exzellenter Verschleißschutz und schnelle Durchölung bei Kaltstart. | Fördert Kraftstoffersparnis und hält den Motor effektiv sauber. | Optimiert für Benzin- und Dieselfahrzeuge mit Abgasnachbehandlung. | Erfüllt höchste Spezifikationen für verlängerte Ölwechselintervalle. | Ideal für Fahrzeuge mit Start-Stopp-Systemen und Partikelfiltern. | Hergestellt in Deutschland für höchste Qualitätsstandards.,,"{""Anwendungsbereich"":""Benzin- und Dieselfahrzeuge"",""Freigaben"":""BMW Longlife-04, VW 504 00/507 00, MB 229.51, Porsche C30"",""Füllmenge"":""5 Liter"",""Gebindeart"":""Kanister"",""Herstellerland"":""Deutschland"",""Herstellernummer"":""20647"",""Marke"":""LIQUI MOLY"",""Öltyp"":""Leichtlaufmotoröl"",""Spezifikation"":""ACEA C3, API SN, API CF"",""Technologiebasis"":""Synthesetechnologie"",""Viskosität"":""5W-30"",""weight"":1,""Zustand"":""Neu""}",36.06 EUR,,0
Near Dark Metallpfeife Screen Prince – Eleganter Genuss für unterwegs,Near Dark,Spielzeug > Puppen & Zubehör,SKU-4649569251,4250153617556,Kompaktes Design für diskreten und stilvollen Genuss unterwegs. | Robuste Metallkonstruktion garantiert außergewöhnliche Langlebigkeit und Wertbeständigkeit. | Elegantes schwarzes Finish mit edler 'Screen Prince' Gravur. | Einfache Handhabung und hygienische Reinigung für dauerhafte Freude. | Anspruchsvolles und einzigartiges Raucherlebnis für Kenner. | Exklusives Accessoire für Liebhaber von hochwertigem Rauchzubehör.,"Die Near Dark Screen Prince Metallpfeife vereint Eleganz und Funktionalität für anspruchsvolle Genießer. Ihr kompaktes Design ermöglicht ein stilvolles und diskretes Raucherlebnis, ideal für unterwegs.Gefertigt aus robustem Metall, verspricht diese Pfeife außergewöhnliche Langlebigkeit und eine angenehme Haptik. Das elegante schwarze Finish mit edler 'Screen Prince' Gravur macht sie zu einem zeitlosen und exklusiven Accessoire.Das durchdachte Design gewährleistet eine unkomplizierte Nutzung sowie eine schnelle und hygienische Reinigung für dauerhafte Freude. Im Lieferumfang ist die hochwertige Screen Prince Metallpfeife enthalten, und unser Kundenservice steht Ihnen bei Fragen jederzeit zur Verfügung.","{""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Near Dark"",""Kategorie"":""Spielzeug > Puppen & Zubehör"",""Marke"":""Near Dark"",""Material"":""Metall"",""Modell"":""Screen Prince"",""Produktart"":""Pfeife"",""Zustand"":""Neu""}",15.99 EUR,XGA0304A,1
